init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
2760 3.80141868e+02 3.12899e-03 7.60519e+00 9.04206e-05 9.14309e+01
2770 3.81490080e+02 3.11171e-03 7.63612e+00 9.46020e-05 8.41946e+01
2780 3.82852241e+02 3.13458e-03 7.66811e+00 9.38602e-05 8.67439e+01
2790 3.84216961e+02 2.82354e-03 7.69757e+00 9.12521e-05 9.00935e+01
2800 3.85572299e+02 2.84501e-03 7.72810e+00 9.31672e-05 8.75203e+01
2810 3.86944924e+02 3.36274e-03 7.75899e+00 9.17189e-05 8.45828e+01
2820 3.88320439e+02 2.68193e-03 7.78946e+00 8.98207e-05 8.69947e+01
2830 3.89680054e+02 3.50504e-03 7.82073e+00 9.61582e-05 8.56325e+01
2840 3.91053395e+02 3.21977e-03 7.85339e+00 9.99893e-05 8.25745e+01
2850 3.92407190e+02 3.29624e-03 7.88625e+00 9.70100e-05 7.89820e+01
2860 3.93792488e+02 3.49060e-03 7.92080e+00 9.71272e-05 8.25308e+01
2870 3.95144405e+02 3.49650e-03 7.95638e+00 9.58516e-05 8.39142e+01
2880 3.96492976e+02 3.73795e-03 7.99215e+00 9.46757e-05 8.13575e+01
2890 3.97885494e+02 3.49649e-03 8.02868e+00 8.23083e-05 8.25538e+01
2900 3.99228915e+02 3.55195e-03 8.06419e+00 9.90092e-05 8.00039e+01
2910 4.00579284e+02 3.73758e-03 8.10099e+00 8.13836e-05 8.44323e+01
2920 4.01970032e+02 3.51014e-03 8.13747e+00 9.06085e-05 8.42886e+01
2930 4.03322615e+02 3.68553e-03 8.17261e+00 9.09263e-05 7.99636e+01
2940 4.04680460e+02 3.54888e-03 8.20845e+00 9.43093e-05 8.92044e+01
2950 4.06050593e+02 3.52207e-03 8.24470e+00 9.19044e-05 8.18302e+01
2960 4.07403888e+02 3.53308e-03 8.28109e+00 8.93191e-05 8.51862e+01
2970 4.08749484e+02 3.45338e-03 8.31607e+00 8.51608e-05 8.40158e+01
2980 4.10099575e+02 3.48927e-03 8.35214e+00 8.13193e-05 8.39554e+01
2990 4.11450213e+02 3.81136e-03 8.38728e+00 8.22411e-05 8.14866e+01
